Informal ,formal 
ஈகிறேன்,இருக்கின்றேன்
ஈப்பேன்,இருப்பேன்
ஈந்திச்சி,இருந்தது
ஈக்கிது,இருக்கின்றது
ஈக்கிம்,இருக்கும்
ஈந்தான்,இருந்தான்
ஈகிறான்,இருக்கின்றான்
ஈப்பான்,இருப்பான்
ஈந்தால்,இருந்தாள்
ஈகிறாள்,இருக்கின்றாள்
ஈப்பால்,இருப்பாள்
ஈந்தாங்க,இருந்தனர்
ஈக்கிறாங்க,இருக்கின்றனர்
ஈப்பாங்க,இருப்பார்கள்
ஈந்தீங்க,இருந்தீர்கள்
ஈக்கிறீங்க,இருக்கின்றீர்கள்
ஈப்பீங்க,இருப்பீர்கள்
செத்து,இறந்து
செத்திச்சி,இறந்தது
செத்தான்,இறந்தான்
செத்தால்,இறந்தாள்
சாஹுவாங்க,இறப்பார்கள்
செத்தாங்க,இறந்தார்கள்
சாஹுவீங்க,இறப்பீர்கள்
சாகும்,இறக்கும்
சாஹுது,இறக்கிறன்றது
சாகுவேன்,இறப்பேன்
சாகுறேன்,இறக்கிறேன்
சாகுறான்,இறக்கிறான்
சாஹுவான்,இறப்பான்
சாகுறாள்,இறக்கிறாள்
சாஹுவால்,இறப்பாள்
சாகுறாங்க,இறக்கிறார்கள்
சாஹுறீங்க,இறக்கிறீர்கள்
செத்தீங்க,இறந்தீர்கள்
செத்தேன்,இறந்தேன்
பொறந்து,பிறந்து
பொறந்திச்சி,பிறந்தது
பொறந்தான்,பிறந்தான்
பொறந்தால்,பிறந்தாள்
பொறப்பாங்க,பிறப்பார்கள்
பொறந்தாங்க,பிறந்தார்கள்
போறப்பீங்க,பிறப்பீர்கள்
பொறக்கும்,பிறக்கும்
பொறக்குது,பிறக்கின்றது
பொறப்பேன்,பிறப்பேன்
பொறக்குறான்,பிறக்கின்றான்
பொறப்பான்,பிறப்பான்
பொறக்குறாள்,பிறக்கின்றாள்
பொறப்பால்,பிறப்பாள்
பொறக்குறீங்க,பிறக்கின்றீர்கள்
பொறக்குறீங்க,பிறக்கின்றீர்கள்
பொறந்தீங்க,பிறந்தீர்கள்
பொறந்தேன்,பிறந்தேன்
