Verb,Noun,Replacement
ළෙලදෙනවා,කොඩිය,ළෙලදෙන්න
කඩනවා,කොල,නෙලනවා
තියනවා,කොඩිය,තියන්න
තබන්න,කොඩිය,තබනවා
ගන්න,කොඩිය,ගන්නවා
වෙන්න,තුවාලය,වෙනවා
පැසවන්න,තුවාලය,පැසවනවා
රිදෙන්න,තුවාලය,රිදෙනවා
පැහවන්න,තුවාලය,පැහවනවා
කසන්න,තුවාලය,කසනවා
යන්න,ගෙදර,යනවා
යන්න,ගෙදරට,යනවා
